Timestamp,Temperature
2024-12-04 15:25:06,25.48
2024-12-04 15:25:08,25.48
2024-12-04 15:25:09,25.48
2024-12-04 15:25:10,25.47
2024-12-04 15:25:11,25.48
2024-12-04 15:25:12,25.47
2024-12-04 15:25:13,25.48
2024-12-04 15:25:14,25.47
2024-12-04 15:25:15,25.48
2024-12-04 15:25:17,25.50
2024-12-04 15:25:18,25.48
2024-12-04 15:25:19,25.48
2024-12-04 15:25:20,25.45
2024-12-04 15:25:21,25.48
2024-12-04 15:25:22,25.47
2024-12-04 15:25:23,25.47
2024-12-04 15:25:25,25.44
2024-12-04 15:25:26,25.45
2024-12-04 15:25:27,25.45
2024-12-04 15:25:28,25.47
2024-12-04 15:25:29,25.47
2024-12-04 15:25:30,25.44
2024-12-04 15:25:31,25.47
2024-12-04 15:25:32,25.45
2024-12-04 15:25:34,25.45
2024-12-04 15:25:35,25.45
2024-12-04 15:25:36,25.45
2024-12-04 15:25:37,25.47
2024-12-04 15:25:38,25.45
2024-12-04 15:25:39,25.47
2024-12-04 15:25:40,25.47
2024-12-04 15:25:42,25.45
2024-12-04 15:25:43,25.45
2024-12-04 15:25:44,25.44
2024-12-04 15:25:45,25.44
2024-12-04 15:25:46,25.44
2024-12-04 15:25:47,25.44
2024-12-04 15:25:48,25.45
2024-12-04 15:25:49,25.44
2024-12-04 15:25:51,25.44
2024-12-04 15:25:52,25.44
2024-12-04 15:25:53,25.42
2024-12-04 15:25:54,25.45
2024-12-04 15:25:55,25.42
2024-12-04 15:25:56,25.42
2024-12-04 15:25:57,25.42
2024-12-04 15:25:59,25.42
2024-12-04 15:26:00,25.44
2024-12-04 15:26:01,25.42
2024-12-04 15:26:02,25.41
2024-12-04 15:26:03,25.42
2024-12-04 15:26:04,25.42
2024-12-04 15:26:05,25.41
2024-12-04 15:26:06,25.44
2024-12-04 15:26:08,25.41
2024-12-04 15:26:09,25.41
2024-12-04 15:26:10,25.42
2024-12-04 15:26:11,25.41
2024-12-04 15:26:12,25.41
2024-12-04 15:26:13,25.41
2024-12-04 15:26:14,25.41
2024-12-04 15:26:16,25.39
2024-12-04 15:26:17,25.41
2024-12-04 15:26:18,25.41
2024-12-04 15:26:19,25.39
2024-12-04 15:26:20,25.42
2024-12-04 15:26:21,25.41
2024-12-04 15:26:22,25.41
2024-12-04 15:26:23,25.37
2024-12-04 15:26:25,25.42
2024-12-04 15:26:26,25.39
2024-12-04 15:26:27,25.39
2024-12-04 15:26:28,25.41
2024-12-04 15:26:29,25.41
2024-12-04 15:26:30,25.41
2024-12-04 15:26:31,25.42
2024-12-04 15:26:33,25.41
2024-12-04 15:26:34,25.42
2024-12-04 15:26:35,25.41
2024-12-04 15:26:36,25.44
2024-12-04 15:26:37,25.41
2024-12-04 15:26:38,25.42
2024-12-04 15:26:39,25.37
2024-12-04 15:26:40,25.37
2024-12-04 15:26:42,25.39
2024-12-04 15:26:43,25.41
2024-12-04 15:26:44,25.37
2024-12-04 15:26:45,25.39
2024-12-04 15:26:46,25.37
2024-12-04 15:26:47,25.37
2024-12-04 15:26:48,25.37
2024-12-04 15:26:50,25.37
2024-12-04 15:26:51,25.36
2024-12-04 15:26:52,25.34
2024-12-04 15:26:53,25.34
2024-12-04 15:26:54,25.37
2024-12-04 15:26:55,25.34
2024-12-04 15:26:56,25.34
2024-12-04 15:26:57,25.36
2024-12-04 15:26:59,25.33
2024-12-04 15:27:00,25.33
