Timestamp,Voltage (mV),Temperature
04/12/2024 15:25,0,25.48
04/12/2024 15:25,0,25.48
04/12/2024 15:25,-0.01,25.47
04/12/2024 15:25,-0.01,25.48
04/12/2024 15:25,-0.01,25.47
04/12/2024 15:25,-0.01,25.48
04/12/2024 15:25,0,25.47
04/12/2024 15:25,0,25.48
04/12/2024 15:25,0,25.5
04/12/2024 15:25,0,25.48
04/12/2024 15:25,0.01,25.45
04/12/2024 15:25,0.01,25.48
04/12/2024 15:25,0.01,25.47
04/12/2024 15:25,0.01,25.47
04/12/2024 15:25,0.01,25.44
04/12/2024 15:25,0.01,25.45
04/12/2024 15:25,0.01,25.45
04/12/2024 15:25,0.01,25.47
04/12/2024 15:25,-0.54,25.47
04/12/2024 15:25,-0.41,25.44
04/12/2024 15:25,-0.34,25.47
04/12/2024 15:25,-0.28,25.45
04/12/2024 15:25,-0.23,25.45
04/12/2024 15:25,-0.2,25.45
04/12/2024 15:25,-0.16,25.45
04/12/2024 15:25,-0.13,25.47
04/12/2024 15:25,-0.1,25.45
04/12/2024 15:25,-0.08,25.47
04/12/2024 15:25,-0.06,25.47
04/12/2024 15:25,-0.03,25.45
04/12/2024 15:25,-0.02,25.45
04/12/2024 15:25,-0.02,25.44
04/12/2024 15:25,-0.01,25.44
04/12/2024 15:25,-0.01,25.44
04/12/2024 15:25,0,25.44
04/12/2024 15:25,0,25.45
04/12/2024 15:25,0.01,25.44
04/12/2024 15:25,0.01,25.44
04/12/2024 15:25,0.01,25.42
04/12/2024 15:25,0.01,25.45
04/12/2024 15:25,0.02,25.42
04/12/2024 15:25,0.02,25.42
04/12/2024 15:25,0.02,25.42
04/12/2024 15:25,0.02,25.42
04/12/2024 15:26,0.02,25.44
04/12/2024 15:26,0.02,25.42
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.42
04/12/2024 15:26,0.02,25.42
04/12/2024 15:26,0.02,25.44
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.42
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.39
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.02,25.41
04/12/2024 15:26,0.03,25.39
04/12/2024 15:26,0.03,25.41
