Timestamp,Voltage (mV)
2024-12-11 12:11:22,-0.13
2024-12-11 12:11:23,-0.13
2024-12-11 12:11:24,-0.13
2024-12-11 12:11:25,-0.13
2024-12-11 12:11:26,-0.13
2024-12-11 12:11:27,-0.13
2024-12-11 12:11:28,-0.22
2024-12-11 12:11:30,-0.11
2024-12-11 12:11:31,1.13
2024-12-11 12:11:32,1.15
2024-12-11 12:11:33,1.07
2024-12-11 12:11:34,0.87
2024-12-11 12:11:35,0.70
2024-12-11 12:11:36,-0.45
2024-12-11 12:11:37,-0.86
2024-12-11 12:11:38,-1.06
2024-12-11 12:11:39,-1.06
2024-12-11 12:11:40,-0.98
2024-12-11 12:11:41,-0.87
2024-12-11 12:11:42,-0.79
2024-12-11 12:11:43,-0.72
2024-12-11 12:11:45,-0.67
2024-12-11 12:11:46,-0.61
2024-12-11 12:11:47,-0.57
2024-12-11 12:11:48,-0.53
2024-12-11 12:11:49,-0.50
2024-12-11 12:11:50,-0.46
2024-12-11 12:11:51,-0.43
2024-12-11 12:11:52,-0.40
2024-12-11 12:11:53,-0.38
2024-12-11 12:11:54,-0.35
2024-12-11 12:11:55,-0.33
2024-12-11 12:11:56,-0.31
2024-12-11 12:11:57,-0.29
2024-12-11 12:11:58,-0.28
2024-12-11 12:11:59,-0.27
2024-12-11 12:12:01,-0.26
2024-12-11 12:12:02,-0.25
2024-12-11 12:12:03,-0.24
2024-12-11 12:12:04,-0.23
2024-12-11 12:12:05,-0.22
2024-12-11 12:12:06,-0.22
2024-12-11 12:12:07,-0.21
2024-12-11 12:12:08,-0.20
2024-12-11 12:12:09,-0.20
2024-12-11 12:12:10,-0.20
2024-12-11 12:12:11,-0.19
2024-12-11 12:12:12,-0.18
2024-12-11 12:12:13,-0.18
2024-12-11 12:12:14,-0.18
2024-12-11 12:12:15,-0.17
2024-12-11 12:12:17,-0.17
2024-12-11 12:12:18,-0.16
2024-12-11 12:12:19,-0.16
2024-12-11 12:12:20,-0.15
2024-12-11 12:12:21,-0.15
2024-12-11 12:12:22,-0.15
2024-12-11 12:12:23,-0.14
2024-12-11 12:12:24,-0.14
2024-12-11 12:12:25,-0.13
2024-12-11 12:12:26,-0.13
2024-12-11 12:12:27,-0.12
2024-12-11 12:12:28,-0.12
2024-12-11 12:12:29,-0.11
2024-12-11 12:12:30,-0.11
2024-12-11 12:12:32,-0.11
2024-12-11 12:12:33,-0.11
2024-12-11 12:12:34,-0.11
2024-12-11 12:12:35,-0.11
2024-12-11 12:12:36,-0.11
